scenario,carico_mbit,ripetizione,seq,rtt_ms
slicing,5,2,98,11.200
slicing,5,2,99,10.600
slicing,5,3,0,10.400
slicing,5,3,1,9.120
slicing,5,3,2,10.700
slicing,5,3,3,9.150
slicing,5,3,4,10.100
slicing,5,3,5,9.790
slicing,5,3,6,10.900
slicing,5,3,7,8.910
slicing,5,3,8,9.970
slicing,5,3,9,9.050
slicing,5,3,10,8.880
slicing,5,3,11,19.200
slicing,5,3,12,10.700
slicing,5,3,13,9.280
slicing,5,3,14,10.000
slicing,5,3,15,9.430
slicing,5,3,16,9.950
slicing,5,3,17,9.570
slicing,5,3,18,10.700
slicing,5,3,19,10.100
slicing,5,3,20,10.600
slicing,5,3,21,9.770
slicing,5,3,22,12.200
slicing,5,3,23,11.100
slicing,5,3,24,10.000
slicing,5,3,25,10.100
slicing,5,3,26,11.000
slicing,5,3,27,10.300
slicing,5,3,28,9.260
slicing,5,3,29,10.900
slicing,5,3,30,11.900
slicing,5,3,31,10.400
slicing,5,3,32,9.910
slicing,5,3,33,11.600
slicing,5,3,34,10.100
slicing,5,3,35,10.100
slicing,5,3,36,9.810
slicing,5,3,37,11.100
slicing,5,3,38,11.100
slicing,5,3,39,10.500
slicing,5,3,40,11.300
slicing,5,3,41,11.600
slicing,5,3,42,8.990
slicing,5,3,43,11.900
slicing,5,3,44,10.600
slicing,5,3,45,11.300
slicing,5,3,46,10.800
slicing,5,3,47,10.300
slicing,5,3,48,12.300
slicing,5,3,49,10.900
slicing,5,3,50,8.720
slicing,5,3,51,8.710
slicing,5,3,52,9.180
slicing,5,3,53,11.100
slicing,5,3,54,10.500
slicing,5,3,55,9.770
slicing,5,3,56,9.880
slicing,5,3,57,9.740
slicing,5,3,58,11.100
slicing,5,3,59,10.300
slicing,5,3,60,12.000
slicing,5,3,61,10.100
slicing,5,3,62,10.800
slicing,5,3,63,9.290
slicing,5,3,64,11.100
slicing,5,3,65,11.400
slicing,5,3,66,10.100
slicing,5,3,67,11.100
slicing,5,3,68,12.600
slicing,5,3,69,9.660
slicing,5,3,70,9.440
slicing,5,3,71,11.100
slicing,5,3,72,9.770
slicing,5,3,73,11.400
slicing,5,3,74,9.110
slicing,5,3,75,9.680
slicing,5,3,76,12.100
slicing,5,3,77,11.100
slicing,5,3,78,9.250
slicing,5,3,79,11.400
slicing,5,3,80,10.500
slicing,5,3,81,11.200
slicing,5,3,82,10.500
slicing,5,3,83,11.700
slicing,5,3,84,10.700
slicing,5,3,85,12.000
slicing,5,3,86,9.680
slicing,5,3,87,9.530
slicing,5,3,88,9.350
slicing,5,3,89,11.000
slicing,5,3,90,10.900
slicing,5,3,91,10.400
slicing,5,3,92,10.500
slicing,5,3,93,10.900
slicing,5,3,94,11.000
slicing,5,3,95,11.600
slicing,5,3,96,10.900
slicing,5,3,97,10.600
slicing,5,3,98,10.600
slicing,5,3,99,10.800
slicing,10,1,0,11.400
slicing,10,1,1,10.800
slicing,10,1,2,11.500
slicing,10,1,3,10.200
slicing,10,1,4,9.260
slicing,10,1,5,9.560
slicing,10,1,6,11.100
slicing,10,1,7,9.900
slicing,10,1,8,10.200
slicing,10,1,9,9.800
slicing,10,1,10,9.730
slicing,10,1,11,10.000
slicing,10,1,12,11.100
slicing,10,1,13,10.600
slicing,10,1,14,10.300
slicing,10,1,15,9.850
slicing,10,1,16,8.970
slicing,10,1,17,9.110
slicing,10,1,18,11.700
slicing,10,1,19,10.600
slicing,10,1,20,11.200
slicing,10,1,21,10.800
slicing,10,1,22,10.500
slicing,10,1,23,10.200
slicing,10,1,24,11.600
slicing,10,1,25,11.600
slicing,10,1,26,10.900
slicing,10,1,27,11.500
slicing,10,1,28,10.900
slicing,10,1,29,10.800
slicing,10,1,30,10.400
slicing,10,1,31,10.900
slicing,10,1,32,10.600
slicing,10,1,33,10.000
slicing,10,1,34,10.700
slicing,10,1,35,8.560
slicing,10,1,36,10.400
slicing,10,1,37,10.200
slicing,10,1,38,10.900
slicing,10,1,39,10.800
slicing,10,1,40,9.980
slicing,10,1,41,9.320
slicing,10,1,42,10.800
slicing,10,1,43,11.500
slicing,10,1,44,9.590
slicing,10,1,45,10.700
slicing,10,1,46,11.800
slicing,10,1,47,11.500
slicing,10,1,48,10.400
slicing,10,1,49,9.580
slicing,10,1,50,11.200
slicing,10,1,51,11.800
slicing,10,1,52,8.680
slicing,10,1,53,12.300
slicing,10,1,54,10.200
slicing,10,1,55,11.900
slicing,10,1,56,11.200
slicing,10,1,57,10.700
slicing,10,1,58,12.000
slicing,10,1,59,9.880
slicing,10,1,60,10.100
slicing,10,1,61,11.900
slicing,10,1,62,10.900
slicing,10,1,63,9.000
